//ID   Lv   experience formula			
1	1	0
2	2	1
3	3	3
4	4	6
5	5	17
6	6	42
7	7	84
8	8	167
9	9	329
10	10	535
11	11	831
12	12	1245
13	13	1808
14	14	2557
15	15	3535
16	16	4795
17	17	6393
18	18	8397
19	19	10885
20	20	13943
21	21	17672
22	22	22186
23	23	27612
24	24	34094
25	25	41797
26	26	50902
27	27	61616
28	28	74167
29	29	88812
30	30	52194
31	31	54583
32	32	56972
33	33	59361
34	34	61749
35	35	64138
36	36	66527
37	37	68916
38	38	71305
39	39	73694
40	40	76083
41	41	78472
42	42	80861
43	43	83250
44	44	85639
45	45	88028
46	46	90417
47	47	92806
48	48	95195
49	49	97584
50	50	99972
51	51	102361
52	52	104750
53	53	107139
54	54	109528
55	55	111917
56	56	114306
57	57	116695
58	58	119084
59	59	121473
60	60	123862
61	61	126251
62	62	128640
63	63	131029
64	64	133418
65	65	135807
66	66	138195
67	67	140584
68	68	142973
69	69	145362
70	70	147751
71	71	150140
72	72	152529
73	73	154918
74	74	157307
75	75	159696
76	76	162085
77	77	164474
78	78	166863
79	79	169252
80	80	171641
81	81	174029
82	82	176418
83	83	178807
84	84	181196
85	85	183585
86	86	185974
87	87	188363
88	88	190752
89	89	193141
90	90	195530
91	91	197919
92	92	200308
93	93	202697
94	94	205086
95	95	207475
96	96	209864
97	97	212252
98	98	214641
99	99	217030
100	100	219419
101	101	221808
102	102	224197
103	103	226586
104	104	228975
105	105	231364
106	106	233753
107	107	236142
108	108	238531
109	109	240920
110	110	243309
111	111	245698
112	112	248087
113	113	250475
114	114	252864
115	115	255253
116	116	257642
117	117	260031
118	118	262420
119	119	264809
120	120	267198
121	121	269587
122	122	271976
123	123	274365
124	124	276754
125	125	279143
126	126	281532
127	127	283921
128	128	286310
129	129	288698
130	130	291087
131	131	293476
132	132	295865
133	133	298254
134	134	300643
135	135	303032
136	136	305421
137	137	307810
138	138	310199
139	139	312588
140	140	314977
141	141	317366
142	142	319755
143	143	322144
144	144	324532
145	145	326921
146	146	329310
147	147	331699
148	148	334088
149	149	336477
150	150	338866
151	151	341255
152	152	343644
153	153	346033
154	154	348422
155	155	350811
