1	#RESOURCE_AREASET_TXT_000001#	41,107,214	2	114,148,155	255,255,255	-1.0,-1.0,-1.0	1
2	#RESOURCE_AREASET_TXT_000002#	235,44,169	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
3	#RESOURCE_AREASET_TXT_000003#	3,33,187	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
4	#RESOURCE_AREASET_TXT_000004#	239,95,95	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
5	#RESOURCE_AREASET_TXT_000005#	76,252,16	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
6	#RESOURCE_AREASET_TXT_000006#	236,190,212	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
7	#RESOURCE_AREASET_TXT_000007#	237,81,6	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
8	#RESOURCE_AREASET_TXT_000008#	69,77,153	3	120,120,110	255,255,255	-1.0,-1.0,-1.0	1
9	#RESOURCE_AREASET_TXT_000009#	37,142,81	12	150,150,151	255,255,255	-1.0,-1.0,-1.0	0
10	#RESOURCE_AREASET_TXT_000010#	101,83,5	3	120,120,152	255,255,255	-1.0,-1.0,-1.0	0
11	#RESOURCE_AREASET_TXT_000011#	92,51,236	11	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
12	#RESOURCE_AREASET_TXT_000012#	63,84,22	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
13	#RESOURCE_AREASET_TXT_000013#	167,34,205	4	145,150,102	255,255,255	-1.0,-1.0,-1.0	1
14	#RESOURCE_AREASET_TXT_000014#	204,143,96	4	145,150,103	255,255,255	-1.0,-1.0,-1.0	0
15	#RESOURCE_AREASET_TXT_000015#	212,243,78	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
16	#RESOURCE_AREASET_TXT_000016#	74,96,61	12	145,150,105	255,255,255	-1.0,-1.0,-1.0	0
17	#RESOURCE_AREASET_TXT_000017#	203,238,47	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
18	#RESOURCE_AREASET_TXT_000018#	104,22,117	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
19	#RESOURCE_AREASET_TXT_000019#	147,109,53	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
20	#RESOURCE_AREASET_TXT_000020#	51,244,13	6	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
21	#RESOURCE_AREASET_TXT_000021#	76,230,5	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
22	#RESOURCE_AREASET_TXT_000022#	57,33,16	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
23	#RESOURCE_AREASET_TXT_000023#	115,17,139	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
24	#RESOURCE_AREASET_TXT_000024#	208,161,90	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
25	#RESOURCE_AREASET_TXT_000025#	80,99,145	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
26	#RESOURCE_AREASET_TXT_000026#	50,216,246	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
27	#RESOURCE_AREASET_TXT_000027#	168,233,249	14	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
28	#RESOURCE_AREASET_TXT_000028#	128,114,64	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
29	#RESOURCE_AREASET_TXT_000029#	141,110,121	7	170,106,74	250,242,210	-1.0,-1.0,-1.0	0
30	#RESOURCE_AREASET_TXT_000030#	236,161,43	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
31	#RESOURCE_AREASET_TXT_000031#	114,54,146	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
32	#RESOURCE_AREASET_TXT_000032#	103,182,118	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
33	#RESOURCE_AREASET_TXT_000033#	53,42,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
34	#RESOURCE_AREASET_TXT_000034#	221,243,5	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
35	#RESOURCE_AREASET_TXT_000035#	49,78,9	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
36	#RESOURCE_AREASET_TXT_000036#	240,207,11	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
37	#RESOURCE_AREASET_TXT_000037#	53,201,176	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
38	#RESOURCE_AREASET_TXT_000038#	185,149,202	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
39	#RESOURCE_AREASET_TXT_000039#	150,219,2	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
40	#RESOURCE_AREASET_TXT_000040#	18,252,192	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
41	#RESOURCE_AREASET_TXT_000041#	16,30,236	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
42	#RESOURCE_AREASET_TXT_000042#	21,170,32	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
43	#RESOURCE_AREASET_TXT_000043#	195,19,206	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
44	#RESOURCE_AREASET_TXT_000044#	67,65,130	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
45	#RESOURCE_AREASET_TXT_000045#	111,49,196	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
46	#RESOURCE_AREASET_TXT_000046#	115,252,101	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
47	#RESOURCE_AREASET_TXT_000047#	157,117,157	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
48	#RESOURCE_AREASET_TXT_000048#	47,213,183	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
49	#RESOURCE_AREASET_TXT_000049#	155,239,79	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
50	#RESOURCE_AREASET_TXT_000050#	68,251,228	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
51	#RESOURCE_AREASET_TXT_000051#	47,211,221	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
52	#RESOURCE_AREASET_TXT_000052#	25,93,98	9	198,152,68	253,247,229	-1.0,-1.0,-1.0	0
53	#RESOURCE_AREASET_TXT_000053#	135,206,147	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
54	#RESOURCE_AREASET_TXT_000054#	125,70,239	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
55	#RESOURCE_AREASET_TXT_000055#	84,137,128	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
56	#RESOURCE_AREASET_TXT_000056#	108,55,216	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
57	#RESOURCE_AREASET_TXT_000057#	32,125,91	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
58	#RESOURCE_AREASET_TXT_000058#	236,194,55	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
59	#RESOURCE_AREASET_TXT_000059#	6,51,63	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
60	#RESOURCE_AREASET_TXT_000060#	249,33,4	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
61	#RESOURCE_AREASET_TXT_000061#	121,144,53	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
62	#RESOURCE_AREASET_TXT_000062#	214,153,143	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
63	#RESOURCE_AREASET_TXT_000063#	15,218,22	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
64	#RESOURCE_AREASET_TXT_000064#	212,158,103	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
65	#RESOURCE_AREASET_TXT_000065#	168,43,212	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
66	#RESOURCE_AREASET_TXT_000066#	126,30,242	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
67	#RESOURCE_AREASET_TXT_000067#	118,79,29	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
68	#RESOURCE_AREASET_TXT_000068#	221,65,111	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
69	#RESOURCE_AREASET_TXT_000069#	200,149,199	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
